  0.00	      0.00
 31.40	     -0.00
 15.70	    -27.19
-15.70	    -27.19
-31.40	     -0.00
-15.70	     27.19
 15.70	     27.19
 62.80	     -0.00
 47.10	    -27.19
 31.40	    -54.39
  0.00	    -54.39
-31.40	    -54.39
-47.10	    -27.19
-62.80	     -0.00
-47.10	     27.19
-31.40	     54.39
 -0.00	     54.39
 31.40	     54.39
 47.10	     27.19
 94.20	     -0.00
 78.50	    -27.19
 62.80	    -54.39
 47.10	    -81.58
 15.70	    -81.58
-15.70	    -81.58
-47.10	    -81.58
-62.80	    -54.39
-78.50	    -27.19
-94.20	     -0.00
-78.50	     27.19
-62.80	     54.39
-47.10	     81.58
-15.70	     81.58
 15.70	     81.58
 47.10	     81.58
 62.80	     54.39
 78.50	     27.19
125.60	     -0.00
109.90	    -27.19
 94.20	    -54.39
 78.50	    -81.58
 62.80	   -108.77
 31.40	   -108.77
  0.00	   -108.77
-31.40	   -108.77
-62.80	   -108.77
-78.50	    -81.58
-94.20	    -54.39
109.90	    -27.19
125.60	     -0.00
109.90	     27.19
-94.20	     54.39
-78.50	     81.58
-62.80	    108.77
-31.40	    108.77
 -0.00	    108.77
 31.40	    108.77
 62.80	    108.77
 78.50	     81.58
 94.20	     54.39
109.90	     27.19
157.00	     -0.00
141.30	    -27.19
125.60	    -54.39
109.90	    -81.58
 94.20	   -108.77
 78.50	   -135.97
 47.10	   -135.97
 15.70	   -135.97
-15.70	   -135.97
-47.10	   -135.97
-78.50	   -135.97
-94.20	   -108.77
109.90	    -81.58
125.60	    -54.39
141.30	    -27.19
157.00	     -0.00
141.30	     27.19
125.60	     54.39
109.90	     81.58
-94.20	    108.77
-78.50	    135.97
-47.10	    135.97
-15.70	    135.97
 15.70	    135.97
 47.10	    135.97
 78.50	    135.97
 94.20	    108.77
109.90	     81.58
125.60	     54.39
141.30	     27.19
188.40	     -0.00
172.70	    -27.19
157.00	    -54.39
141.30	    -81.58
125.60	   -108.77
109.90	   -135.97
 94.20	   -163.16
 62.80	   -163.16
 31.40	   -163.16
  0.00	   -163.16
-31.40	   -163.16
-62.80	   -163.16
-94.20	   -163.16
109.90	   -135.97
125.60	   -108.77
141.30	    -81.58
157.00	    -54.39
172.70	    -27.19
188.40	     -0.00
172.70	     27.19
157.00	     54.39
141.30	     81.58
125.60	    108.77
109.90	    135.97
-94.20	    163.16
-62.80	    163.16
-31.40	    163.16
 -0.00	    163.16
 31.40	    163.16
 62.80	    163.16
 94.20	    163.16
109.90	    135.97
125.60	    108.77
141.30	     81.58
157.00	     54.39
172.70	     27.19
219.80	     -0.00
204.10	    -27.19
188.40	    -54.39
172.70	    -81.58
157.00	   -108.77
141.30	   -135.97
125.60	   -163.16
109.90	   -190.35
 78.50	   -190.35
 47.10	   -190.35
 15.70	   -190.35
-15.70	   -190.35
-47.10	   -190.35
-78.50	   -190.35
109.90	   -190.35
125.60	   -163.16
141.30	   -135.97
157.00	   -108.77
172.70	    -81.58
188.40	    -54.39
204.10	    -27.19
219.80	     -0.00
204.10	     27.19
188.40	     54.39
172.70	     81.58
157.00	    108.77
141.30	    135.97
125.60	    163.16
109.90	    190.35
-78.50	    190.35
-47.10	    190.35
-15.70	    190.35
 15.70	    190.35
 47.10	    190.35
 78.50	    190.35
109.90	    190.35
125.60	    163.16
141.30	    135.97
157.00	    108.77
172.70	     81.58
188.40	     54.39
204.10	     27.19
251.20	     -0.00
235.50	    -27.19
219.80	    -54.39
204.10	    -81.58
188.40	   -108.77
172.70	   -135.97
157.00	   -163.16
141.30	   -190.35
125.60	   -217.55
 94.20	   -217.55
 62.80	   -217.55
 31.40	   -217.55
  0.00	   -217.55
-31.40	   -217.55
-62.80	   -217.55
-94.20	   -217.55
125.60	   -217.55
141.30	   -190.35
157.00	   -163.16
172.70	   -135.97
188.40	   -108.77
204.10	    -81.58
219.80	    -54.39
235.50	    -27.19
251.20	     -0.00
235.50	     27.19
219.80	     54.39
204.10	     81.58
188.40	    108.77
172.70	    135.97
157.00	    163.16
141.30	    190.35
125.60	    217.55
-94.20	    217.55
-62.80	    217.55
-31.40	    217.55
 -0.00	    217.55
 31.40	    217.55
 62.80	    217.55
 94.20	    217.55
125.60	    217.55
141.30	    190.35
157.00	    163.16
172.70	    135.97
188.40	    108.77
204.10	     81.58
219.80	     54.39
235.50	     27.19
282.60	     -0.00
266.90	    -27.19
251.20	    -54.39
235.50	    -81.58
219.80	   -108.77
204.10	   -135.97
188.40	   -163.16
172.70	   -190.35
157.00	   -217.55
141.30	   -244.74
109.90	   -244.74
 78.50	   -244.74
 47.10	   -244.74
 15.70	   -244.74
-15.70	   -244.74
-47.10	   -244.74
-78.50	   -244.74
109.90	   -244.74
141.30	   -244.74
157.00	   -217.55
172.70	   -190.35
188.40	   -163.16
